;Mali;Niger;Burkina Faso;Uzbekistan;TFYR Macedna;Syria;Guadeloupe;Qatar;Tajikistan;Bermuda;Kyrgyzstan;Chad;Jordan;Bosnia Herzg;Liberia;Georgia;Ecuador;Mexico;El Salvador;Honduras;Colombia;Venezuela;Egypt;Morocco;Madagascar;Mozambique;Senegal;Tanzania;Canada;USA;Argentina;Chile;Peru;Uruguay;Israel;Japan;Oman;Saudi Arabia;India;Indonesia;Korea Rep.;Pakistan;Philippines;Singapore;Thailand;Taiwan;China;Denmark;France,Monac;Germany;Ireland;Italy;Portugal;Spain;UK;Norway;Sweden;Russian Fed;Australia;New Zealand;Mauritania;Belgium-Lux;Netherlands;Libya;Seychelles;Brazil;Costa Rica;Malaysia;Greece;South Africa;Angola;Zimbabwe;Untd Arab Em;Turkey;Iceland;Switz.Liecht;Tunisia;Ghana;Mauritius;Greenland;Nicaragua;Bahamas;Cuba;Haiti;Jamaica;Trinidad Tbg;Belize;Guyana;Panama;Suriname;Iran;Bangladesh;Myanmar;China HK SAR;Viet Nam;Finland;Estonia;Latvia;Lithuania;Poland;Fiji;Dem.Rp.Congo;Guinea;Kenya;Nigeria;Uganda;Zambia;Slovenia;Guatemala;Barbados;Dominican Rp;Bahrain;Yemen;Cambodia;Sri Lanka;Kazakhstan;Bulgaria;Romania;Croatia;Papua N.Guin;Samoa;Paraguay;Cyprus;Ukraine;Gabon;Cote Divoire;Sierra Leone;Kuwait;Azerbaijan;Korea D P Rp;Malta;Czech Rep;Togo;Bolivia;Nepal;Gibraltar;Yugoslavia;Benin;Belarus;Hungary;Austria;Algeria;Cameroon;Lebanon;Armenia;Slovakia;Albania;Malawi;Ethiopia;Iraq;Mongolia
Mali;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Niger;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Burkina Faso;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Uzbekistan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TFYR Macedna;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Syria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Guadeloupe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Qatar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tajikistan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bermuda;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kyrgyzstan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chad;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jordan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bosnia Herzg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Liberia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Georgia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ecuador;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.086282045;0;0;0.58875877;0.31967837;0;0;0;0;0;0;0.022422098;0.086814255;0.1317145;0.6729314;0.32279533;0.07616014;0;0.0051427456;0;0;0;0.03156718;0;0;0;0;2.685488E-4;0.04665589;0.0101813935;1.1603573E-4;0.030284703;0.0017468322;0;0.032162573;0.0057164803;0.041535422;0.016564587;4.0636768E-4;3.728602E-4;3.9944125E-4;0;0;0;0.017382402;6.312089E-4;0;0;0.027518913;0;0;0;0;0;0;0;0;0;0.0067385407;0;0;0;0;0;0;0.012815949;0;0;0;0;0;0.03729178;0;0;0;0;0.0030842286;0;0;0.0036075795;0;0;0;0;0;0;0;0;0;0;0;0;0;0.008167894;0;0;0;0;0;0;0;0;0;0;0.18478002;0;0;0;0;0;0;0;0;0;0;0;0.07045144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mexico;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.16033645;0;0.01568544;0;0;0;0;0;0;0.003601316;0.057783704;0.0024106302;0;0;0.020632736;0;0.0019704814;0;0;0;0;0.007623974;0;0.03800888;0.0040436797;1.6112928E-4;0.020299325;0.0013734652;1.0214413E-4;7.142036E-4;0;0;0.0063009583;3.205605E-4;0.011115783;0;0;0;0;7.4780703E-4;0;0;0;6.2577677E-4;0;0;0;0.08495662;0.01493245;0.0012756855;0;0;0;0;0;0.055600982;0;0;0;0;0;0.5416389;0;0;0.051259313;0;0;0;0;0.022622246;0;0;0;0;0.0060712704;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.022312762;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
El Salvador;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.007211597;0;0;0;0;0;0;0;0;0;0;1.109873E-4;0.004151704;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.06661275E-4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.930132E-4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Honduras;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0010672539;0.01223621;0;0;0;0;0;0.005713042;0;0;0;0;0;0;0;5.148151E-4;0;2.2735694E-4;2.0158196E-4;0;2.3052105E-4;0;0;0;0;0.006204853;0.0016678986;0;0;0;0;0;0;0;4.3674005E-4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Colombia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5269194;0.0014814996;0;0.100670256;0;0.19358572;0;0;0;0;0;0;0;0.0039556827;0;0.0057028085;0.02907435;0.010714544;0;8.260995E-4;0;0;0;0;0;0;0;0;0;1.9928817E-4;0;0.0036060964;0.007052062;3.7298907E-4;0.007013717;0.026255403;0;0.007666387;0.0011491317;0;1.7221086E-4;0;0;0;0;0.00346942;0.006173027;0;0;0;0.15632673;0;0;0;0;0;0;0;0;7.401173E-4;0;0;0;0;0;0;0;0;0;0;0;0;0.23799033;0;0;0;0;7.247165E-4;0;0.0020727878;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Venezuela;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.005889267;0;0.042975422;0.112690076;0;0;0;0;0;0;0;0;0.008433262;0.0033866416;0.010831749;0.037393816;0;0;1.1407542E-4;0;0;0;0;0;0;0;0;0;0;0;0;0.0028312337;4.196127E-5;0;0.0073536304;0;0.004323707;0;0;0;0;0;0;0;0;1.20592405E-4;0;0;0.030675385;0.1432313;0.0028677299;0;0;0;0;0;0;0;2.8322177E-4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0010581118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.036034822;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Egypt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0018436542;0;0;0;0;0;2.9029223E-4;0;0;0;0;0;4.079568E-5;0;4.1548014E-5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.008175664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Morocco;0.5048544;0.2503234;1.0;0;0;0.51871806;0;0;0;0;0;1.0;0.1947986;0;0.2667083;0;0;0;0.31449407;0.013405178;0;0;0.021911984;0;0.021761347;0;0;0.8132956;5.549365E-4;0.002442477;0.009054563;0.019977763;0;0;0;0.01819386;0;0.013043607;0;0;0.00586747;0;0;0;0.008049578;0;2.5724265E-4;0;0.01482068;0.010029132;0;0.026996648;0.0092360815;0.06148276;0.0038013333;0;3.997188E-4;0;5.1037275E-4;0;0.1079018;0.0071545755;0.030257829;0.0045818384;0;0;0;0;0.06858043;0.019486856;0.116242535;0;0.0044515105;0;0;0.0043979534;0;0.18680575;0.07773769;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.4803268E-4;0;0.0010675301;0;0;0;0.0014765117;0;0.09265332;0.90129197;0;5.931989E-4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.7106457;0.04669076;0.4664144;0.044275403;0;0;0;0.0034552112;0.21561119;0;0;0;0.047612134;0.40027046;0;0.03411074;0.004288084;0;0.72436816;0.12386489;0;0;0;0;0;0;0
Madagascar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0019193692;0;0;0;0;0;0;0;0.0027124179;3.773455E-4;3.3121134E-4;0;0.0010917165;0.028341152;0.0011065343;0;1.7133959E-4;0.0017242435;3.175358E-4;0.0034007013;0;0;0;0;0;0;0.0047814846;7.398507E-4;0;0;0;0;0;0;0.017233957;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.002270049;0;0.0037007714;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mozambique;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0014045384;0;0;0;0;0;0;0;0;0;2.3016382E-4;3.6104233E-4;0;1.0790973E-4;0;0;0.0011306207;0.011348717;0.012848455;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.023906555;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.770886E-4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Senegal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.4117584E-4;1.11337984E-4;0;0;0;0;0;4.0148097E-4;0;0;0;0;0;0;0;0;8.3043554E-4;1.3753692E-4;3.0237294E-4;0;0.03072869;0.0024084991;0;0.020041952;0.009576335;0.010463023;0.0033941644;0;1.8958993E-4;0;0;0;0;0.009730654;8.734801E-4;0;0;0;0;0;0.06392524;0.0034726209;0;0;0;0;0;0.0032623943;0.14136247;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.004357953;0;0;0;0;0;0;0;0;0;0;5.380176E-4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tanzania;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0025690282;0;0;0;0;0;0;0;0;5.3027074E-4;0;0;0;0;0.02730204;9.1840787E-4;0;0;0;0;0;0;0;0.0027827232;0;0;0;0;0.0012287595;5.6958536E-4;0;7.842647E-4;0.008786421;0.0024999783;4.95887E-4;0;0;0;0.0038455478;0;0;0.033668477;0.012096179;0;0;0;0;0;0.014399036;0.008035817;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0020151753;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Canada;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.048460953;0;0;0;0.0059391465;0.010650173;0;0;0;0;0;0;0.16780214;0;0.0045192065;0;0;0.0032784096;0.03894067;0;0;0;0;0.011777918;0;0;0.006669917;0.021722155;0.051666163;0.038589407;0.055233005;0.014735999;0.010139863;0.0031540345;0.004850087;0.006220843;0.0024416908;0.046875793;0.03773801;0.01695724;0.007040444;0.030635681;0.16238049;0;0.031452283;0.02598386;0;0;0.0022066068;0;0.0031853437;0.007329906;0.012785559;0;0;0;0;0.03004906;0.032546457;0;0;0;0;0;0;0.0071199713;0.26569706;0.44451794;0.3843389;0;0;0;0;0;0;0;0.032251816;0;0.02238255;0;0.0317091;0.013868584;0.033715744;0;0;0;0;0;0;0;0;0;0.3076688;0.21419099;0;0;0;0;0.014446451;0;0.0040601864;0;0;0;0.025208086;0;0.006252903;0;0;0;0;0;0;0;0.011577536;0;0;0;0;0;0;0;0;0.004753534;0;0;0;0;0;0;0;0;0;0
USA;0;0;0;0;0;0;1.0;0;0;0.9470742;0;0;0;0;0;0;0;0.3971888;0.15223336;0.38520172;0.02474136;0.05987878;0;0;0;0;0;0;0.39580557;0;0.0016580432;0;0;0.055455007;0.14411858;0.0982486;0;0.004722515;0;0.019439189;0.1468269;0;0.04079496;0.012285258;0.017604407;0.11725162;0.083497055;0.02523777;0.033612557;0.018777668;0.021522276;0.01753988;0.019489642;0.022485305;0.052129768;0.08299695;0.019801088;0.017236708;0.058275696;0.050897285;0;0.01306475;0.014781804;0;0;0.009715751;0.1733508;0.01876683;0.008468156;0.01668867;0;0;0.0013924675;0.020161891;0.13152085;0.023568861;0;0;0;0;0;0.39959604;0;0.031394113;0.13664757;0.06598203;1.0;0.55279505;0.20488985;0;0;0.14318885;0;0.006050031;0.074882075;0.013006076;0;0.015141565;0.017602434;0.004540737;0.11222655;0;0;0;0;0;0;0;0.25912035;0.3036969;0.0616724;0;0;0;0;0;0;0.005970862;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0059892116;0.0028867817;0;0;0.02821862;0;0.004737814;0;0;0;0;0
Argentina;0;0;0;0;0;0;0;0;0;0;0;0;0.0812366;0;0;0;0;0.062431127;0;0;0;0.0056954892;0.0025612405;0.024473684;0;0;0;0;0.003513414;0.010915486;0;0.049603675;0.034679044;0.15948744;0.11473661;0.006231501;0;0;0;0;0.02173393;0;0;0.002977763;0.004225168;0.0023437412;0.02535871;1.1358427E-4;0.0134710735;0.0052000894;0;0.03160186;0.0013719553;0.084646344;5.1829993E-4;6.981188E-4;0.0021881838;0.0077201948;3.0178565E-4;0;0;0.0015807532;0.0020967869;0;0;0.2630768;0.030446881;8.791917E-4;0.030951232;0.03192802;0;0;0;0.03188161;0;6.3324114E-4;0.036890645;0;0;0;0;0;0.08668565;0;0;0.034403082;0;0;0.008543794;0;0;0;0;0.0013895764;0;0;0.00812581;0;0.033387333;0.018249437;0;0;0;0;0;0;0;0.15381317;0;0;0.0040359003;0;0;0;0;0;0.008548931;0.026165646;0;0;0;0.09869203;0;0;0;0;0;0;0;0;0.0077627804;0.013472745;0;0.14420885;0;0;0.22107708;0;0;0.188442;0;0;0;0.027497241;0;0.03287026;0;0;0;0;0
