;Mali;Niger;Burkina Faso;Uzbekistan;TFYR Macedna;Syria;Guadeloupe;Qatar;Tajikistan;Bermuda;Kyrgyzstan;Chad;Jordan;Bosnia Herzg;Liberia;Georgia;Ecuador;Mexico;El Salvador;Honduras;Colombia;Venezuela;Egypt;Morocco;Madagascar;Mozambique;Senegal;Tanzania;Canada;USA;Argentina;Chile;Peru;Uruguay;Israel;Japan;Oman;Saudi Arabia;India;Indonesia;Korea Rep.;Pakistan;Philippines;Singapore;Thailand;Taiwan;China;Denmark;France,Monac;Germany;Ireland;Italy;Portugal;Spain;UK;Norway;Sweden;Russian Fed;Australia;New Zealand;Mauritania;Belgium-Lux;Netherlands;Libya;Seychelles;Brazil;Costa Rica;Malaysia;Greece;South Africa;Angola;Zimbabwe;Untd Arab Em;Turkey;Iceland;Switz.Liecht;Tunisia;Ghana;Mauritius;Greenland;Nicaragua;Bahamas;Cuba;Haiti;Jamaica;Trinidad Tbg;Belize;Guyana;Panama;Suriname;Iran;Bangladesh;Myanmar;China HK SAR;Viet Nam;Finland;Estonia;Latvia;Lithuania;Poland;Fiji;Dem.Rp.Congo;Guinea;Kenya;Nigeria;Uganda;Zambia;Slovenia;Guatemala;Barbados;Dominican Rp;Bahrain;Yemen;Cambodia;Sri Lanka;Kazakhstan;Bulgaria;Romania;Croatia;Papua N.Guin;Samoa;Paraguay;Cyprus;Ukraine;Gabon;Cote Divoire;Sierra Leone;Kuwait;Azerbaijan;Korea D P Rp;Malta;Czech Rep;Togo;Bolivia;Nepal;Gibraltar;Yugoslavia;Benin;Belarus;Hungary;Austria;Algeria;Cameroon;Lebanon;Armenia;Slovakia;Albania;Malawi;Ethiopia;Iraq;Mongolia
Chile;0;0;0;0;0;0;0;0.11150822;0;0;0;0;0;0;0;0;0.016008282;0.09453437;0.13673656;0;0.069190174;0.14665124;0.018914951;0;0;0;0;0;0.01098064;0.050101973;0.25836077;0;0.45722044;0.08651271;0.005033596;0.044187818;0;0;0;0;0.008599394;0;0;0.01663057;0.007958685;0.018399071;0.003244868;0.014555947;0.014931531;0.009585042;0;0.0039687543;2.461642E-4;0.026499016;0.008924565;2.1047762E-4;0;0.02029909;0.024779707;0.017281048;0;0.013911021;0.0059112003;0;0;0.08928303;0.024062859;0.0066330642;0.0034253213;0.01490931;0;0;0;0;0;0.017597158;0;0;0.13387376;0;0;0;0.39937106;0.076977655;0.025279248;0.04338896;0;0;0.030628694;0;0;0;0;0.008031094;0;0;0.0035375294;0;0;0.0030024464;0.0894516;0;0;0;0;0;0;0;0.07398568;0.05774519;0.0061115064;0;0;0;0.317275;0;0;0;0;0.04300509;0.5381883;0.17669441;0;0;0;0;0;0;0;0;0;0.002759012;0;0.39329687;0;0;0;0;0;0.00412502;0.002490654;0;0;0;0;0;0;0;0;0;0
Peru;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.06745779;0.041592184;0;0;0.1626241;0.031035848;0;0;0;0;0;0;9.1275957E-4;0.007609786;0;0.024855636;0;0.1831608;0.0013840456;0.0013220655;0;0;0;0;0.0012837426;0;0;6.758366E-4;1.7627819E-4;0.01360212;0.0032117723;7.9263846E-4;0.01356487;0.004730356;0;0.003159855;0;0.0035288522;0.0019602012;0;0.0013160701;0.0058327764;0;0;0;0.0069633555;0.004641178;0;0;0.007431902;0;0.0019471104;0;0.10888532;0;0;0;0.003525848;0;0;0;0;0.008200178;0;0;0;0;0;0;0.054172017;0;0;0.20096722;0;0;0;0;0.0028454454;0;0;0;0;0;0.0077254307;0;0;0;0;0;0;0;0;0.24718718;0;0.010108969;0;0;0;0.03149572;0;0;0.015179259;0;0;0;0;0;0;0;0;0;0;0;0;0;0.015973905;0;0.37277701;0;0;0;0;0;0.038077105;0;0;0;0;0;0.026044594;0;0;0;0;0
Uruguay;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0022651027;0;0;0;0.0040203454;0;0;0;0;0;0;0.001319417;0.0024537994;0.019637818;0.029805243;0;0;0.021085432;8.892239E-4;0;0.024766093;0;0;0.0016499923;0;0;0.002190799;0;0.0034131608;7.401368E-4;0;0.0014960346;0.0018672765;0;0.0048633236;3.7088743E-4;9.3201833E-4;6.3456723E-4;0;1.864301E-4;0;2.8625256E-4;0;0;0.0034684394;0;0;0;0.096938305;0;6.812585E-4;0;0.022586385;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0017551527;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.004918293;6.3380454E-4;0;0;0;0;0;0;0;0;0;0
Israel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.300658E-5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.2363573E-4;0;0;1.5525907E-4;3.231411E-4;3.3685574E-4;0.0012402305;1.4964638E-4;4.6388278E-4;1.00625504E-4;0.001391005;0;1.6273136E-4;0;0;0;0;0.0010188601;0.0010288379;0;0;0;0;0;0;0.001965905;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Japan;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4290113;0;0.69627506;0;0.011643852;0.396536;0.039952688;0;0.032924194;0;0;0;0;0.032089062;0;0.011023259;0.023230953;0;0;0.03669323;0.079128355;0;0;0;0.047530785;0;0.07096164;0.05266708;0;0.19122638;0.052953385;0.14517197;0.059171747;0.13233405;5.9243594E-4;5.439591E-4;5.0236966E-4;0;1.07363005E-4;0.0010765581;0.0042486;0.0020890757;0.0048201457;0;0.008747997;0.035905834;0.05406718;0;3.461575E-4;0.0027171315;0;0.018007105;3.6533226E-4;0;0.026992567;0;0.038901962;0;0;0;0.014748969;0;3.740665E-4;0.07006123;0;0.094934635;0;0.24317122;0;0;0;0;0.12913993;0;0;0.017302526;0;0;0;0;0.119002186;0;0;0;0;0;0;0.21366496;0;0;0;0;0;0;0;0;0;0.0056502605;0.13857515;0;0;0.007516517;0;0;0;0;0.57345974;0;0;0.047406346;0;0;0;0;0.01748911;0;0.5868726;0;0;0;0;0;0;0;0.11539328;0;0;0;0;0;0.024993636;0;0;0;0;0;0;0
Oman;0;0;0;0;0;0;0;0.30092925;0;0;0;0;0.10233555;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0011673976;0;0;0;0;0;6.081066E-4;0;0.06048566;0;0;0;0;0;8.3912595E-4;0.002533999;9.627584E-4;8.980928E-4;0;0.001986774;5.093632E-4;0;8.504474E-4;0.0012100339;0.0015465008;7.807185E-4;0;2.4014724E-4;0;0;0;0;5.256103E-4;0.0045303633;0;0;0;0;0;0.004528331;8.466307E-4;0;0;0.12733951;0;0;0.0030539858;0.032938078;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.004511135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.04561251;0;0;0.013300119;0;0;0;0;0;0;0;0;0;0;0;0;0.028866783;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.040651787;0;0;0;0;0;0;0
Saudi Arabia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.710944E-5;0;0;0;0;0;3.212654E-4;0;0;0;0;0;0;0;4.6265323E-4;0;1.964813E-5;0;0;0;0;0;0;0;0;1.5922548E-4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.309379E-4;0;0;0.002499863;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.048653346;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01056607;0;0;0;0;0;0;0
India;0;0;0;0;0;0;0;0.07290922;0;0;0;0;0;0;0;0;0;0.020312462;0;0;0;0.004903603;8.0277683E-4;0;0;0;0;0;0.012419922;0.022810722;0;0;0.011472108;0.015637442;0;0.048424248;0.04343558;0;0;0.22088422;0.0050471453;0;0;0.043618675;0.058091927;0.009652846;0.022724606;7.983585E-4;0.004307568;0.0027309794;0;0.0075400453;0.008009637;0.009761544;0.00984303;6.8144733E-4;0;0;0.023909856;0.025333606;0;0.0068456815;0.0046868073;0;0;0;0;0.068659805;0.050502345;0.018511077;0;0;0.6627597;0.019665293;0;0.004205576;0;0.0057471264;0.07773769;0;0;0;0;0;0;0;0;0;0;0;0;0.85681117;0;0.016506286;0.07149175;0;0;0;0;0;0;0;0;0;0.0011404135;0;0;0;0;0;0;0.356212;0;0;0.089440055;0;0;0;0;0;0;0;0.041211918;0;0;0;0;0.023860607;0;0.41312742;0;0;0;0;0;0;0;0;0;0;0.0045208093;0;0;0.025757447;0;0;0;0;0;0;0
Indonesia;0;0;0;0;0;0;0;0;0;0;0;0;0.1699199;0;0;0;0;0.0026446604;0;0;0;0;0.060070645;0;0;0;0;0;0.008134037;0.039312214;0;0;0;0;0;0.08363703;0;0.037139278;0.007070231;0;0.028724441;0;0.16365263;0.10835157;0.2069327;0.06381713;0.011273547;0.005653882;0.013499301;0.008910942;0.018496541;0.0021016677;0;0.0023834035;0.03240402;4.3345886E-4;0.0032893852;0;0.020568023;0.0035533514;0.037755314;0.027353307;0.020560462;0;0;0;0;0.27613524;0.0068964544;0.010991849;0;0;0;0.0025574812;0;0.003820822;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.079679556;0.24380895;0;0.0037126546;0;0;5.6836434E-4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.014036608;0;0;0;0;0.028436018;0;0;0;0;0;0;0;0.009037124;0;0;0;0.0016631427;0;0;0;0;0;0;0;0;0.0017429625;0;0;0.009165747;0;0;0;0;0;0;0
Korea Rep.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.017080098;0;0;0.0114564765;0;0;0;0;0;0;0;0.006517174;0.007294289;0.0025870178;0;0;0;0;0.069026105;0;0;0;0;0;0;0.041183323;0.021914795;0.015900843;0.0055463864;0.055501234;0.0026108038;0.004372255;4.965417E-4;0;0.011171635;0.005770089;0.023126176;0.0038027342;0.01495433;0.004401646;0.058780935;0.01141016;0.01758781;0;0.0046922485;0.004086018;0.0112889875;0;0.0060979174;0;0.0028815393;0.0018959083;0.012498565;0;0;0;0.021626856;0.0049877353;0;0;0;0.016494073;0;0;0;0;0;0;0;0;0;0.07770016;0;0;0;0;0.005549938;0.08800118;0;0;0.0045781187;0;0.0033854747;0.11537309;0;0.09870801;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.25962108;0;0.021954406;0.008932719;0;0;0;0;0;0;0;0.0078000105;0;0;0;0;0;0;0;0;5.941918E-4;0;0;0;0;0;0;0;0;0;0
Pakistan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.783353E-4;0;0;0;0;0;0.0014388014;0;0.026511155;0;0;5.792725E-4;0;0;0.0027146859;0.0045377864;0.002121998;0.0011192312;0;0.0010417552;6.16209E-4;0;3.7135833E-5;0;0.0011347192;0.009628706;0;0;0;0;0;0;0.010422969;0.0038991543;0;0;0;0;0.011213146;0;0.009944323;0;0;0.048813112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0036673488;0.023732312;0;0;0;0;0;0.018729398;0;0;0;0;0;0;0;0;0;0;0.07645526;0;0;0.28073215;0;0;0;0;0;0;0;0;0;0;0;0;0.012352903;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Philippines;0;0;0;0;0;0.008660075;0;0;0;0;0;0;0;0;0;0;0;0.017288243;0;0;0;0;0.011330621;0;0;0;0;0;0.018391928;0.021570083;0;0;0;0;0.04391832;0.0141974315;0;0.0014295714;0;0;0.008177086;0;0;0.0057514147;0.02705044;0.015864462;7.1155425E-4;4.9682905E-4;0.0010270536;0.018268693;0.0059338617;9.1405626E-4;0.006614706;9.325983E-4;0.014511932;0.001652562;0.003147193;0;0.0032907948;0.002786441;0;0.0037175159;0.0061958423;0;0;0;0;0;0.0053247535;0.22782975;0.088909835;0;0.0013266817;0;0;0.014278653;0.019220337;0;0;0;0;0.020871907;0;0;0;0;0;0;0;0;0;0;0;0.020626744;0;0.03108292;0;0;0;0.0019830973;0;0;0;0;0;0;0;0.0060433564;0;0;0.0022293543;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.027631493;0;0;0.023917757;0;0;0;0;0;0.01393526;0;0;0.006861812;0.010150776;0;0;0;0;0;0;0;0;0;0
Singapore;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0023111994;0.0084767835;0;0;0;0;0.02410095;0.002822782;0;0.010430942;0;0.09169104;0.006697138;0;0.04861287;0;0.006350146;0.006012328;0.0055630608;4.6250861E-4;0.0022072978;0.0030013963;0;0.00590423;6.422151E-4;0.0018611368;0.008384319;9.877861E-4;0.0016146742;4.4615954E-4;0.019660447;0.0031443324;0;0.0015248582;0.0032364393;0;0.0065406975;0;0;0.0068770284;0.011565746;0.009958673;0;0;6.2496576E-4;0.009187069;0;0.0040078554;0;0;0.0376271;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.028493073;0.10318396;0.0013611009;0;0;0;5.127635E-4;0;0;0;0;0;0;0;0;0;0;0;0.0894874;0;0;0.008079714;0;0;0;0;0;0;0;0.006826514;0;0;0;0;0.019439569;0;0;0;0;0;0;0;0;0;0;0;0;0.0017182046;0;0;0;0;0;0;0;0;0;0
Thailand;0;0;0;0;0;0.46239346;0;0.5146533;0;0.05292583;0;0;0.36415434;0;0;0;0.17378145;0.0068932585;0;0.13457747;0;0;0.423438;0;0;0.043878786;0;0.18670438;0.1641875;0.17056248;0.23639464;0.075499445;0;0.043075364;0.11066952;0.07590183;0.17055215;0.28073826;0;0.011611904;0.04604656;0;0.0022626345;0.14104347;0;0.15148708;0.0123311;0.012176397;0.03419621;0.044098575;0.025531642;0.039154407;0.0064845122;0.009276396;0.0740151;0.009325617;0.022682855;0.010303715;0.32061175;0.4596605;0;0.026596272;0.048769306;0;0;0.01498071;0.098215744;0.31761837;0.014268648;0.101853974;0.09982721;0.1569044;0.096990295;0;0.027105479;0.110627495;0.13531737;0.04481793;0.0077784546;0;0.14057295;0.08365595;0;0;0.13150352;0.12811297;0;0.44720498;0.05609887;0.38327092;0;0;1.0;0.07310111;0.2497052;0.11364748;0;0.038595043;0.0037733612;0.030200534;0.050943963;0.021349333;0;0;5.0123007E-4;0;0.29439253;0.04257642;0.12683259;0.24931256;0.11915515;0.14422241;1.0;1.0;0.23034766;0;0.008605175;0.16721068;0.028317546;0.1535896;0.15038484;0.10653983;0.3078252;0.019294672;0;0.0023435515;0;0.455367;0;0;0.23001608;0.062168017;0.04418262;0;0;0;0.06074902;0.042596348;0;0.16119309;0.043955337;0;0;0.46571332;0;0.0456115;0;0;0;0;0
Taiwan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.026630262;0;0;0;0;0;0;0;0;0;0;0.009554675;0.026591497;0;0;0;0;0.0073609576;0.051488966;0;0.07350955;0;0.28126612;0.009509413;0;0.25898722;0.097980425;0.15080048;0;0.005156888;6.1858486E-4;0.0021046808;7.0168567E-4;0;0.004379087;0;0.013181071;0.0027684688;0.011107383;0;0;0.023770057;0;0;5.8542786E-4;0.0030571804;0;0;0;0;0.03651177;0.012823811;0.014564918;0;0;0;0.13723494;0;0;0.06502364;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.03196283;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1123464;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
China;0;0;0;0.33918127;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02104709;0;0;0;0;0;0;0;0;0;0;0.03935432;0.040898543;0;0;0;0.020198364;0.005605771;0.14190611;0;0.0014591487;0;0.026320316;0.36166224;0;0.038431015;0.03207502;0.013989327;0.014637857;0;0.008038335;0.010960041;0.034122285;0;0.0022288854;0.006441844;0.035753373;0.0076180757;0.00988828;0.013742111;0.050684657;0.014874037;0.035686895;0;0.014873005;0.01868965;0;0;0.0013005829;0;0.014688485;0.009673361;0.005352428;0;0;0;0.0041962555;0;3.5536318E-4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.17632623;0.030365566;0;0;0;0.0040696985;0.057735316;0;0;0;0;4.7363943E-4;0;0;0;0;0;0;0;0;0;0.007776454;0;0;0;0;0.07811128;0;0;0;0;0;0;0;0;0;0;0;0.12378165;0;0;0;0;0.020322252;0;0;0.021537364;0;0;0;0;0;0.1413314;0;0;0;0;0
Denmark;0;0;0;0;0.23206279;0;0;0;0;0;0;0;0;0.10673965;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.036369205;0.0043770922;0.0026458136;0;0;0;0.0066186762;0.0036590395;0;0;0;0;0.0010856688;0;0;5.193509E-4;0.0088951625;0.0077778525;0.0059361374;0;0.06307367;0.17666821;0.104072444;0.114468455;0.037822857;0.045044847;0.14261886;0.093093626;0.16090655;0.06299492;0.012233414;0;0;0.09283003;0.08425172;0;0;0.016477529;0;0;0.06347064;0.0023389966;0;0;0.004868154;0.006033669;0.05854456;0.14571226;0;0;0;0.5954052;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0014880502;0;0.09037533;0.05120661;0.0323658;0.0150539335;0.04749858;0;0;0;0;0;0;0;0.018792888;0;0;0;0;0;0;0;0;0.008605175;0.0076427036;0.012059369;0;0;0;0.024946272;0.08925573;0;0;0;0.01170275;0;0;0.0530107;0.09407715;0;0;0;0;0.013209464;0;0;0.03442805;0.15298457;0;0;0.015700586;1.0;0.040097434;0;0;0;0;0
France,Monac;0;0;0;0.07082521;0;0;0;0;0;0;0;0;0;0;0;0;0.0125836255;0.0014814996;0;0;0;0;0;0.07289474;0.5965735;0;0.35647237;0;4.936715E-4;8.774942E-4;0.0027281279;0;0;0.008687468;0.006997549;0.0024530648;0.059631903;0;0;0;0.0014687361;0;0;2.812206E-4;0.0062730247;4.491001E-5;0.037885375;0.0061024986;0;0.029299457;0.0015716715;0.06900904;0.04002083;0.08700626;0.021787276;0.008204459;0.007438245;0.012340632;0;0;0;0.099856146;0.03929031;0;0.48227552;0.0010375436;0;0.0054960987;0.023846861;0.008853748;0;0;0.0010635381;0.09115062;0;0.09846766;0.102611795;0;0.2719179;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.011740922;0;0.007570568;0;0.0027393661;0;8.031235E-4;0;0;0;0;0.004911135;0;0;0;0;0;0;0;0;0;0;0;0;0.01833718;0.024411678;0;0;0;0.045383677;0.006002787;0.034685165;0.6699198;0;0;0;0;0.0916148;0.023438709;0;0;0;0;0.008709537;0;0;0.0051959385;0.024629248;0.024653105;0;0.028982433;0;0;0;0;0;0;0
Germany;0.49514562;0;0;0;0;0;0;0;0;0;0;0;0;0.07800205;0;0;0;0;0;0;0;0.012731094;0.0088229;0;0;0;0;0;6.348473E-4;2.914366E-4;0.014087488;0;0;0;0.010299155;8.1594154E-4;0;0.0063985647;0;0;0;0;0.0018405012;3.719369E-4;0.0023329316;9.0942776E-4;0.0032207984;0.0383923;0.034524936;0;0.007591066;0.04422731;0.010256843;0.008033801;0.020064745;0.011651291;0.01224119;0.026634088;0.0056629186;0;0;0.069940485;0.15207571;0;0;0.0012922324;0;6.628461E-4;0.032561697;3.5874182E-4;0;0;0;0.0030292496;0;0.059938814;0;0.02013909;0;0;0;0;0;0.09329549;0;0;0;0;0;0;0;0;0;0.0021908837;0;0.040841926;0.025743406;0.004240389;0.056402862;0.06711024;0;0;0;0;0;0;0;0.019143794;0;0;0.0059193205;0;0;0;0;0;0.0096175475;0.010057585;0.06503271;0;0;0;0.01601281;0.02415407;0;0;0;0;0;0;0.012028813;0.1860786;0;0;0;0;0.03897518;0;0.023002015;0.14723147;0.4509866;0;0;0.007510821;0;0.2845633;0;0;0;0;0
Ireland;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.057723477;0;0;0;0;0;0;7.1119495E-5;0;0;0;0;9.355839E-4;0.0020869754;0;0;0;0;0.00743898;0;0;0;0.0043146843;2.5261881E-5;6.513805E-4;0.00219569;0.026195895;0.012261239;0;0.0109311715;2.9211486E-4;0.020408997;0.018650394;0.037079487;0.0043984866;0.009315624;6.080093E-4;0;0;0.0035939582;0.0059242374;0;0;0;0;0;9.232862E-4;0.0022672482;0;0;0;0.013805433;0;0.007628285;0;0.010673235;0;0;0;0.17084666;0.20446184;0;0.055518813;0;0;0;0;0;0;0;0;1.300113E-4;0;0;0.017722672;0.01031953;0.005788455;0.041963205;0;0;0;0;0.018513324;0;0;0.010605115;0;0;0;0;0;0;0;0;0.026265467;0.19709152;0.008055854;0;0;0;0;0;0;0;0;0;0;0;0;0.026661854;0;0;0;0;0.041950937;0;0;0;0.0023569607;0;0;0;0;0.03771514;0;0;0;0;0
